density,configuration,seed,accident_trigger_s,accident_detection_s,em_generation_s,ev_receipt_s,ev_departure_s,ev_arrival_s,stored_travel_time_s,stored_response_time_s,calculated_travel_time_s,calculated_response_time_s,status
high,FogCloudAStar,1,60.0,65.5,65.5,65.5153,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,10,60.0,65.5,65.5,65.524,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,11,60.0,66.0,66.0,66.0256,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,12,60.0,65.5,65.5,65.5204,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,13,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,FogCloudAStar,14,60.0,66.0,66.0,66.0317,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,15,60.0,66.0,66.0,66.0313,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,16,60.0,66.0,66.0,66.0171,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,17,60.0,65.5,65.5,65.5203,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,18,60.0,66.0,66.0,66.0265,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,19,60.0,66.0,66.0,66.0291,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,2,60.0,65.5,65.5,65.5139,67.0,208.5,141.5,143.0,141.5,143.0,PASS
high,FogCloudAStar,20,60.0,66.0,66.0,66.0268,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,FogCloudAStar,22,60.0,66.5,66.5,66.5196,68.0,218.0,150.0,151.5,150.0,151.5,PASS
high,FogCloudAStar,23,60.0,65.5,65.5,65.5159,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,24,60.0,66.0,66.0,66.0299,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,25,60.0,65.5,65.5,65.5169,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,26,60.0,66.0,66.0,66.0241,67.5,214.5,147.0,148.5,147.0,148.5,PASS
high,FogCloudAStar,27,60.0,66.0,66.0,66.0248,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,28,60.0,66.0,66.0,66.0185,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,29,60.0,66.0,66.0,66.0243,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,3,60.0,65.5,65.5,65.5177,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,30,60.0,66.0,66.0,66.0301,67.5,213.0,145.5,147.0,145.5,147.0,PASS
high,FogCloudAStar,4,60.0,65.5,65.5,65.519,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,5,60.0,66.0,66.0,66.0247,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,6,60.0,66.0,66.0,66.0344,67.5,208.0,140.5,142.0,140.5,142.0,PASS
high,FogCloudAStar,7,60.0,66.0,66.0,66.0264,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,8,60.0,65.5,65.5,65.5153,67.0,207.0,140.0,141.5,140.0,141.5,PASS
high,FogCloudAStar,9,60.0,66.0,66.0,66.0395,67.5,213.5,146.0,147.5,146.0,147.5,PASS
low,FogCloudAStar,1,60.0,66.0,66.0,66.0364,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,10,60.0,65.5,65.5,65.5234,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,11,60.0,66.0,66.0,66.0227,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,12,60.0,65.5,65.5,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,FogCloudAStar,13,60.0,66.0,66.0,66.0417,67.5,209.5,142.0,143.5,142.0,143.5,PASS
low,FogCloudAStar,14,60.0,66.0,66.0,66.029,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,15,60.0,66.0,66.0,66.0266,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,16,60.0,66.0,66.0,66.0258,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,17,60.0,66.0,66.0,66.036,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,18,60.0,65.5,65.5,65.5312,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,19,60.0,66.0,66.0,66.039,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,2,60.0,66.0,66.0,66.0243,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,20,60.0,65.5,65.5,65.525,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,21,60.0,66.0,66.0,66.0396,67.5,209.5,142.0,143.5,142.0,143.5,PASS
low,FogCloudAStar,22,60.0,66.0,66.0,66.0415,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,23,60.0,65.5,65.5,65.5308,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,24,60.0,66.0,66.0,66.027,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,25,60.0,65.5,65.5,65.5156,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,26,60.0,65.5,65.5,65.5286,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,27,60.0,67.5,67.5,67.5315,69.0,209.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,28,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,FogCloudAStar,29,60.0,66.0,66.0,66.0227,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,3,60.0,66.0,66.0,66.0331,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,30,60.0,66.0,66.0,66.0255,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,4,60.0,66.0,66.0,66.0522,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,5,60.0,65.5,65.5,65.5253,67.0,207.0,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,6,60.0,66.0,66.0,66.0417,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,7,60.0,66.0,66.0,66.0287,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,8,60.0,66.0,66.0,66.0349,67.5,207.5,140.0,141.5,140.0,141.5,PASS
low,FogCloudAStar,9,60.0,66.0,66.0,66.0238,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,1,60.0,67.0,67.0,67.0361,68.5,208.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,10,60.0,65.5,65.5,65.515,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,11,60.0,66.0,66.0,66.0218,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,12,60.0,65.5,65.5,65.529,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,13,60.0,67.5,67.5,67.5245,69.0,209.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,14,60.0,66.0,66.0,66.0212,67.5,230.0,162.5,164.0,162.5,164.0,PASS
medium,FogCloudAStar,15,60.0,66.0,66.0,66.026,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,16,60.0,65.5,65.5,65.5138,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,17,60.0,68.0,68.0,68.0193,69.5,209.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,18,60.0,66.0,66.0,66.0287,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,19,60.0,66.0,66.0,66.0411,67.5,208.0,140.5,142.0,140.5,142.0,PASS
medium,FogCloudAStar,2,60.0,67.5,67.5,67.5214,69.0,209.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,20,60.0,65.5,65.5,65.5192,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
medium,FogCloudAStar,22,60.0,65.5,65.5,65.5165,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,23,60.0,66.0,66.0,66.0196,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,24,60.0,66.0,66.0,66.0334,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,25,60.0,65.5,65.5,65.5223,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,26,60.0,66.0,66.0,66.0247,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,27,60.0,66.0,66.0,66.0203,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,28,60.0,66.0,66.0,66.0343,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,29,60.0,66.0,66.0,66.0231,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,3,60.0,65.5,65.5,65.5196,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,30,60.0,65.5,65.5,65.5245,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,4,60.0,65.5,65.5,65.5194,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,5,60.0,65.5,65.5,65.5212,67.0,207.0,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,6,60.0,66.0,66.0,66.0204,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,7,60.0,66.0,66.0,66.0331,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,8,60.0,66.0,66.0,66.0255,67.5,207.5,140.0,141.5,140.0,141.5,PASS
medium,FogCloudAStar,9,60.0,66.0,66.0,66.0502,67.5,207.5,140.0,141.5,140.0,141.5,PASS
high,MistAStar,1,60.0,65.5,65.5,65.5153,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,10,60.0,65.5,65.5,65.524,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,11,60.0,66.0,66.0,66.0256,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,12,60.0,65.5,65.5,65.5204,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,13,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistAStar,14,60.0,66.0,66.0,66.0317,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,15,60.0,66.0,66.0,66.0313,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,16,60.0,66.0,66.0,66.0171,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistAStar,17,60.0,65.5,65.5,65.5203,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistAStar,18,60.0,66.0,66.0,66.0265,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,19,60.0,66.0,66.0,66.0291,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,2,60.0,65.5,65.5,65.5139,66.5,208.0,141.5,142.5,141.5,142.5,PASS
high,MistAStar,20,60.0,66.0,66.0,66.0268,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistAStar,22,60.0,66.5,66.5,66.5196,67.5,218.0,150.5,151.5,150.5,151.5,PASS
high,MistAStar,23,60.0,65.5,65.5,65.5159,66.5,206.5,140.0,141.0,140.0,141.0,PASS
