action,eventId,messageId,senderId,receiverId,nodeRole,generationTime,eventTime,remainingHops,hopCount,packetBytes,duplicateDiscarded,ttlExpired
accident_occurrence,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],,rsu,,60,,,,,
accident_detection,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],,rsu,,67,,,,,
generated,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],broadcast,rsu,67,67,1,0,266,0,0
transmit,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],broadcast,rsu,67,67,1,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],accident,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],accident,normal,67,67.0004,1,0,266,0,1
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal11,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal11,normal,67,67.0004,1,0,266,0,1
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal20,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal20,normal,67,67.0004,1,0,266,0,1
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal22,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal22,normal,67,67.0004,1,0,266,0,1
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal2,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal2,normal,67,67.0004,1,0,266,0,1
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal23,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal23,normal,67,67.0004,1,0,266,0,1
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal6,normal,67,67.0004,1,0,266,0,0
ttl_expired,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal6,normal,67,67.0004,1,0,266,0,1
