action,eventId,messageId,senderId,receiverId,nodeRole,generationTime,eventTime,remainingHops,hopCount,packetBytes,duplicateDiscarded,ttlExpired
accident_occurrence,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],,rsu,,60,,,,,
accident_detection,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],,rsu,,67,,,,,
generated,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],broadcast,rsu,67,67,10,0,266,0,0
transmit,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],broadcast,rsu,67,67,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],accident,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal11,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal20,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal22,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal2,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal23,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal6,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal26,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal0,normal,67,67.0004,10,0,266,0,0
transmit,accident-1,em-accident-1,normal11,broadcast,normal,67,67.0088,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal11,EmergencyGridScenario.rsu[2],rsu,67,67.0092,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal11,accident,normal,67,67.0092,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal11,normal20,normal,67,67.0092,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal11,normal22,normal,67,67.0092,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal11,normal2,normal,67,67.0092,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal11,normal6,normal,67,67.0092,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal11,normal23,normal,67,67.0092,9,1,266,1,0
receive,accident-1,em-accident-1,normal11,normal3,normal,67,67.0092,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal11,normal0,normal,67,67.0092,9,1,266,1,0
transmit,accident-1,em-accident-1,normal22,broadcast,normal,67,67.0114,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal22,normal6,normal,67,67.0118,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal22,normal2,normal,67,67.0118,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal22,normal23,normal,67,67.0118,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal22,normal20,normal,67,67.0118,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal22,EmergencyGridScenario.rsu[2],rsu,67,67.0118,9,1,266,1,0
receive,accident-1,em-accident-1,normal22,normal18,normal,67,67.0118,9,1,266,0,0
receive,accident-1,em-accident-1,normal22,EmergencyGridScenario.rsu[1],rsu,67,67.0118,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal22,normal11,normal,67,67.0118,9,1,266,1,0
receive,accident-1,em-accident-1,normal22,normal19,normal,67,67.0118,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal22,normal26,normal,67,67.0118,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal22,accident,normal,67,67.0118,9,1,266,1,0
receive,accident-1,em-accident-1,normal22,normal4,normal,67,67.0118,9,1,266,0,0
receive,accident-1,em-accident-1,normal22,normal9,normal,67,67.0118,9,1,266,0,0
receive,accident-1,em-accident-1,normal22,normal5,normal,67,67.0118,9,1,266,0,0
receive,accident-1,em-accident-1,normal22,normal1,normal,67,67.0118,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal22,normal3,normal,67,67.0118,9,1,266,1,0
transmit,accident-1,em-accident-1,normal20,broadcast,normal,67,67.0121,9,1,266,0,0
duplicate_discard,accident-1,em-accident-1,normal20,EmergencyGridScenario.rsu[2],rsu,67,67.0125,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal20,accident,normal,67,67.0125,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal20,normal11,normal,67,67.0125,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal20,normal23,normal,67,67.0125,9,1,266,1,0
duplicate_discard,accident-1,em-accident-1,normal20,normal22,normal,67,67.0125,9,1,266,1,0
