density,configuration,seed,raw_em_generation_s,raw_ev_arrival_s,calculated_response_s,stored_response_s,difference_s,status
high,FogCloudAStar,1,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,10,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,11,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,12,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,13,66.0,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,FogCloudAStar,14,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,15,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,16,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,17,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,18,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,19,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,2,65.5,208.5,143.0,143.0,0.0,PASS
high,FogCloudAStar,20,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,21,66.0,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,FogCloudAStar,22,66.5,218.0,151.5,151.5,0.0,PASS
high,FogCloudAStar,23,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,24,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,25,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,26,66.0,214.5,148.5,148.5,0.0,PASS
high,FogCloudAStar,27,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,28,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,29,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,3,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,30,66.0,213.0,147.0,147.0,0.0,PASS
high,FogCloudAStar,4,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,5,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,6,66.0,208.0,142.0,142.0,0.0,PASS
high,FogCloudAStar,7,66.0,207.5,141.5,141.5,0.0,PASS
high,FogCloudAStar,8,65.5,207.0,141.5,141.5,0.0,PASS
high,FogCloudAStar,9,66.0,213.5,147.5,147.5,0.0,PASS
low,FogCloudAStar,1,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,10,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,11,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,12,65.5,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,FogCloudAStar,13,66.0,209.5,143.5,143.5,0.0,PASS
low,FogCloudAStar,14,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,15,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,16,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,17,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,18,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,19,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,2,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,20,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,21,66.0,209.5,143.5,143.5,0.0,PASS
low,FogCloudAStar,22,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,23,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,24,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,25,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,26,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,27,67.5,209.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,28,66.0,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,FogCloudAStar,29,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,3,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,30,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,4,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,5,65.5,207.0,141.5,141.5,0.0,PASS
low,FogCloudAStar,6,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,7,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,8,66.0,207.5,141.5,141.5,0.0,PASS
low,FogCloudAStar,9,66.0,207.5,141.5,141.5,0.0,PASS
medium,FogCloudAStar,1,67.0,208.5,141.5,141.5,0.0,PASS
medium,FogCloudAStar,10,65.5,207.0,141.5,141.5,0.0,PASS
medium,FogCloudAStar,11,66.0,207.5,141.5,141.5,0.0,PASS
medium,FogCloudAStar,12,65.5,207.0,141.5,141.5,0.0,PASS
medium,FogCloudAStar,13,67.5,209.0,141.5,141.5,0.0,PASS
medium,FogCloudAStar,14,66.0,230.0,164.0,164.0,0.0,PASS
medium,FogCloudAStar,15,66.0,207.5,141.5,141.5,0.0,PASS
medium,FogCloudAStar,16,65.5,207.0,141.5,141.5,0.0,PASS
medium,FogCloudAStar,17,68.0,209.5,141.5,141.5,0.0,PASS
medium,FogCloudAStar,18,66.0,207.5,141.5,141.5,0.0,PASS
medium,FogCloudAStar,19,66.0,208.0,142.0,142.0,0.0,PASS
medium,FogCloudAStar,2,67.5,209.0,141.5,141.5,0.0,PASS
medium,FogCloudAStar,20,65.5,207.0,141.5,141.5,0.0,PASS
